"UAI";"Rentrée";"pki.FIN.P.ressources";"pki.FIN.S.masseSalariale";"pki.FIN.S.ressourcesPropres";"pki.ENS.P.effectif";"pki.ENS.S.titulaires";"pki.ENS.S.ECtitulaires";"pki.ENS.S.DocATER";"pki.ENS.S.LRU";"pki.ETU.P.effectif";"pki.ETU.S.cycle.1.L";"pki.ETU.S.cycle.2.M";"pki.ETU.S.cycle.3.D";"pki.ETU.S.diplomeEtablissement";"pki.ADM.P.formations";"pki.ADM.S.sélective";"pki.ADM.S.hypersélective";"pki.ADM.S.surchargées";"pki.ADM.S.souschargée";"err.ADM";"Libellé";"Sigle";"Type";"Type.détaillé";"Académie";"Rattachement";"url.siteweb";"url.wikidata";"url.legifrance";"pki.K.proPres";"pki.K.resPetu";"pki.K.selPfor";"pki.K.titPetu";"pki.K.titPens"
"0180974L";"2018";19845193;15237366;4978766;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Institut national des sciences appliquées Centre Val de Loire";"INSA CVL";"Autre";"Institut ou école extérieur aux universités";"Orléans-Tours";"";"http://www.insa-centrevaldeloire.fr/";"https://www.wikidata.org/entity/Q15651478";"";0,250880200560408;NA;NA;NA;NA
"0211237F";"2009";208912000,1;166616709,8;32743547,16;NA;NA;NA;NA;NA;26499;15361;9987;1151;1587;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,15673368281538;8241,75477749724;NA;NA;NA
"0211237F";"2010";212687555,27;171931699,23;34137729,7799999;NA;NA;NA;NA;NA;25721;15007;9582;1132;1536;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,160506475034062;8649,70333360446;NA;NA;NA
"0211237F";"2011";219418805,94;175748649,99;37310464,3300001;NA;NA;NA;NA;NA;26130;15269;9686;1175;1668;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,170042235760788;8792,57887958325;NA;NA;NA
"0211237F";"2013";222157703,7;182605640;35031760,1134798;1467;1205;931;192;0;25882;15492;9303;1087;1651;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,1576887028;8959,77833030853;NA;4,6557453056178;0,634628493524199
"0211237F";"2014";222733568;184614194;34749559,9999999;1477;1207;933;195;0;25941;15800;9082;1059;1928;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,1560140229963;8951,59424483562;NA;4,65286611927065;0,631685849695328
"0211237F";"2015";222147047;187394410;32681428;1483;1212;931;187;1;25885;16234;8651;1000;1778;29;13;3;3;10;0;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,147116193716498;8926,94583082178;0,448275862068966;4,68224840641298;0,627781523937964
"0211237F";"2016";227899432;189343905;33555409;1493;1232;928;180;2;26643;16903;8793;947;1872;26;14;5;9;2;0;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,147237791272775;8869,06257783313;0,538461538461538;4,62410389220433;0,621567314132619
"0211237F";"2017";231100335;187551215;34630010;1414;1211;910;151;2;26128;16961;9167;NA;1895;39;28;2;7;12;0;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,149848376463842;8844,93015156154;0,717948717948718;4,63487446417636;0,643564356435644
"0211237F";"2018";230475070;190175368;34758535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Université de Bourgogne";"";"Université";"Université";"Dijon";"";"http://www.u-bourgogne.fr/";"https://www.wikidata.org/entity/Q287072";"";0,150812558599071;NA;NA;NA;NA
"0250082D";"2009";5300470,8;1860408,39;2375382,08;NA;NA;NA;NA;NA;875;NA;875;NA;NA;NA;NA;NA;NA;NA;NA;"École nationale supérieure de mécanique et des microtechniques";"ENSMM Besançon";"Autre";"Institut ou école extérieur aux universités";"Besançon";"";"http://www.ens2m.fr/";"https://www.wikidata.org/entity/Q3578235";"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";0,44814548926484;NA;NA;NA;NA
"0250082D";"2010";5371001,36;2091880,89;2143046,39;NA;NA;NA;NA;NA;877;NA;877;NA;NA;NA;NA;NA;NA;NA;NA;"École nationale supérieure de mécanique et des microtechniques";"ENSMM Besançon";"Autre";"Institut ou école extérieur aux universités";"Besançon";"";"http://www.ens2m.fr/";"https://www.wikidata.org/entity/Q3578235";"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";0,399003136726072;NA;NA;NA;NA
"0250082D";"2011";5891341,06;2156629,37;2591252,06;NA;NA;NA;NA;NA;856;NA;856;NA;NA;NA;NA;NA;NA;NA;NA;"École nationale supérieure de mécanique et des microtechniques";"ENSMM Besançon";"Autre";"Institut ou école extérieur aux universités";"Besançon";"";"http://www.ens2m.fr/";"https://www.wikidata.org/entity/Q3578235";"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";0,439840782193656;NA;NA;NA;NA
"0250082D";"2012";5482026,03;2153806,65;2359176,59987434;64;58;47;6;0;877;NA;877;NA;NA;NA;NA;NA;NA;NA;NA;"École nationale supérieure de mécanique et des microtechniques";"ENSMM Besançon";"Autre";"Institut ou école extérieur aux universités";"Besançon";"";"http://www.ens2m.fr/";"https://www.wikidata.org/entity/Q3578235";"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";0,4303475735;NA;NA;6,61345496009122;0,734375
"0250082D";"2013";6010998,3;2350639,6;2752146,80019982;72;60;48;12;0;870;NA;870;NA;NA;NA;NA;NA;NA;NA;NA;"École nationale supérieure de mécanique et des microtechniques";"ENSMM Besançon";"Autre";"Institut ou école extérieur aux universités";"Besançon";"";"http://www.ens2m.fr/";"https://www.wikidata.org/entity/Q3578235";"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=9F6183426F68F6E802BCEC824495876F.tpdila09v_3?cidTexte=JORFTEXT000031402219&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000031402159";0,457851868;NA;NA;6,89655172413793;0,666666666666667
