UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0755976N,UNIVERSITE DE PARIS,22 *,,46-1,PR,Non,16,,,01/09/2020,25/02/2020,26/03/2020,"PSYCHOLOGIE CLINIQUE ET PSYCHOPATHOLOGIE INTEGRATIVE : SANTE MENTALE, PREVENTION ET EVALUATIONS DES DISPOSITIFS D'AIDE ET DE SOINS",FACULTE SOCIETES ET HUMANITES,S
0761904G,UNIVERSITE DE ROUEN,4502 *,,46-1,PR,Non,16,,,01/09/2020,25/02/2020,26/03/2020,Psychologie sociale. Psychologie du travail et des organisations,MONT-SAINT-AIGNAN,
0931238R,UNIVERSITE PARIS 13,4343 *,0727,46-1,PR,Non,16,,,01/09/2020,25/02/2020,26/03/2020,Psychopathologie psychanalytique,Villetaneuse,
0931827F,UNIVERSITE PARIS 8,4493 *,,46-1,PR,Non,16,,,01/09/2020,25/02/2020,26/03/2020,Professeur.e de psychologie clinique et psychopathologie,2 rue de la Liberte - SAINT DENIS,
0931827F,UNIVERSITE PARIS 8,4494 *,,46-1,PR,Non,16,,,01/09/2020,25/02/2020,26/03/2020,Professeur‧e des Universités Psychologie Sociale,2 rue de la Liberte - SAINT DENIS,
0062205P,UNIVERSITE COTE D'AZUR,30,599,46-1,PR,Non,17,72,,01/09/2020,28/01/2020,03/03/2020,"PHILOSOPHIE CONTEMPORAINE, HISTOIRE DES IDEES",CAMPUS LETTRES,
0311383K,UNIVERSITE TOULOUSE 2,4541,,46-1,PR,Non,17,,,01/09/2020,10/02/2020,12/03/2020,Philosophie moderne et contemporaine,TOULOUSE,
0333296D,ESPE ACADEMIE BORDEAUX,497,,46-1,PR,Non,17,,,01/09/2020,04/02/2020,09/03/2020,"PHILOSOPHIE, SPECIALITE PHILOSOPHIE POLITIQUE DE L'ÉDUCATION",INSPE ACADEMIE BORDEAUX - SITE  GIRONDE,S
0350936C,UNIVERSITE RENNES 1,4502 *,1303,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,Philosophie politique ou philosophie allemande,Rennes,
0370800U,UNIVERSITE DE TOURS,4463,1242,46-1,PR,Non,17,,,01/09/2020,06/02/2020,09/03/2020,"Philosophie médiévale et de la Renaissance, arts, sciences et techniques",TOURS,
0542493S,UNIVERSITE DE LORRAINE,1295 *,17PR0023,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,"Philosophie/ Philosophie des sciences, philosophie des mathématiques, histoire de la philosophie",NANCY,S
0597065J,UNIVERSITE DE LILLE,149 *,,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,Histoire de la philosophie moderne et contemporaine,VILLENEUVE D'ASCQ,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4319 *,0525,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,"Philosophie contemporaine, philosophie appliquée",Lyon,
0694123G,ECOLE NORMALE SUPERIEURE DE LYON,4199 *,PR0124,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,Philosophie politique,"15 parvis Rene Descartes, Lyon",
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4573 *,1684,46-1,PR,Non,17,,,01/09/2020,25/02/2020,26/03/2020,Philosophie du droit,Centre Pantheon,
0753455Y,ECOLE NORMALE SUPERIEURE DE PARIS,4216 *,,46-1,PR,Non,17,72,,01/09/2020,25/02/2020,26/03/2020,Poste de Professeur en philosophie et sciences contemporaines,Paris,
0755976N,UNIVERSITE DE PARIS,30 *,,46-1,PR,Non,17,19,20,01/09/2020,25/02/2020,26/03/2020,PHILOSOPHIE ET SCIENCES SOCIALES,FACULTE SOCIETES ET HUMANITES,
0141408E,UNIVERSITE DE CAEN,4458 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Études théâtrales,CAEN,
0311383K,UNIVERSITE TOULOUSE 2,4542,,46-1,PR,Non,18,22,,01/09/2020,10/02/2020,12/03/2020,Musiques du 19è siècle,TOULOUSE,
0421095M,UNIVERSITE DE SAINT-ETIENNE,4298 *,0537,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Musique et Sciences humaines : XXe - XXIe siècles,ST ETIENNE,
0421095M,UNIVERSITE DE SAINT-ETIENNE,4299 *,0444,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Musique : discours et pratiques,ST ETIENNE,S
0511296G,UNIVERSITE DE REIMS,4435 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,"Histoire de la musique et analyse des musiques des XVIIIe, XIXe et début XXe sièclesHistoire, théorie et analyse musicales",Reims,
0673021V,UNIVERSITE DE STRASBOURG,4624 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Cinéma,Strasbourg,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4558 *,1602,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Arts plastiques,Centre Saint Charles,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4559 *,1640,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Arts plastiques,Centre Saint Charles,
0911975C,UNIVERSITE D'EVRY VAL D'ESSONNE,4200 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Histoire culturelle des usages et pratiques de la musique aux XXè et XXIè sièclesHistoire et analyse des musiques savantes et populaires  des XXè et XXIè sièclesMusicologie numérique,EVRY,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4602 *,362,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Histoire et esthétique du théâtre,NANTERRE,
0931827F,UNIVERSITE PARIS 8,4477 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Design graphique,2 rue de la Liberte - SAINT DENIS,
0931827F,UNIVERSITE PARIS 8,4478 *,,46-1,PR,Non,18,,,01/09/2020,25/02/2020,26/03/2020,Pratique et théorie de l'art contemporain,2 rue de la Liberte - SAINT DENIS,
0134009M,UNIVERSITE AIX-MARSEILLE,902 *,79862,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,Sociologie générale. Culture et éducation à l'ère numérique,Aix en Provence,
0311383K,UNIVERSITE TOULOUSE 2,4543,,46-1,PR,Non,19,,,01/09/2020,10/02/2020,12/03/2020,sociologie économique et réseaux,TOULOUSE,
0333298F,UNIVERSITE DE BORDEAUX,480,,46-1,PR,Non,19,,,01/09/2020,04/02/2020,09/03/2020,"Théories sociologiques, sociologie du politique",Bordeaux Victoire,S
0352317D,I.E.P DE RENNES,4065 *,,46-3,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,"action publique, sociologie politique, méthodes, comparaison internationale",Rennes et Caen,
0440984F,UNIVERSITE DE NANTES,4579 *,1274,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,sociologie générale et interdisciplinarité,Nantes,
0511296G,UNIVERSITE DE REIMS,4414 *,,46-3,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,"Sociologie des organisations, sociologie du travail et de la formation professionnelleTravail, groupes professionnels, formation, professionnalisation, parcours",Reims,
0542493S,UNIVERSITE DE LORRAINE,1288 *,19PR0209,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,SOCIOLOGIE DE LA CULTURE ET DE L'INNOVATION,METZ,
0597065J,UNIVERSITE DE LILLE,124 *,,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,Sociologie des vulnérabilités,VILLENEUVE D'ASCQ,
0753431X,I.E.P DE PARIS,4107,,46-1 1C,PR,Non,19,,,01/09/2020,31/01/2020,26/03/2020,"Dotés d¿une solide expérience dans le domaine des méthodes quantitatives et expérimentales, les candidats conduiront des recherches dans le domaine de l¿analyse des comportements politiques.",Paris,
0753431X,I.E.P DE PARIS,4108,,46-4 1C,PR,Non,19,,,01/09/2020,31/01/2020,02/03/2020,Une professeure ou un professeur senior dont les travaux privilégient une approche comparative européenne des phénomènes politiques.,Paris,
