"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2018";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";54;18;1607;784;0,0225846925972397;0,0112009956440573
"2018";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";26;14;1206;548;0,0148232611174458;0,0116086235489221
"2018";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";16;7;703;393;0,0145985401459854;0,00995732574679943
"2018";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";21;11;1117;571;0,0124407582938389;0,00984780662488809
"2018";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";21;13;773;296;0,019644527595884;0,0168175937904269
"2018";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";17;7;752;274;0,0165692007797271;0,00930851063829787
"2018";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";5;5;544;197;0,0067476383265857;0,00919117647058824
"2018";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";14;7;499;195;0,0201729106628242;0,0140280561122244
"2018";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";6;2;344;153;0,0120724346076459;0,00581395348837209
"2018";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";6;2;287;118;0,0148148148148148;0,00696864111498258
"2018";"70";"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";35;18;504;173;0,051698670605613;0,0357142857142857
"2018";"71";"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";35;5;613;170;0,0446998722860792;0,00815660685154975
"2018";"72";"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1;0;66;22;0,0113636363636364;0
"2018";"73";"73-Cultures et langues régionales";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1;2;34;22;0,0178571428571429;0,0588235294117647
"2018";"74";"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";36;15;642;166;0,0445544554455446;0,0233644859813084
"2018";"76";"76-Théologie catholique";"Théologie";"Lettres et sciences humaines";3;0;17;13;0,1;0
"2018";"85";"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";7;3;323;110;0,0161662817551963;0,00928792569659443
"2018";"86";"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";13;5;389;180;0,0228471001757469;0,012853470437018
"2018";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";3;3;300;95;0,00759493670886076;0,01
"2019";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";50;25;1219;600;0,0274876305662452;0,0205086136177194
"2019";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";42;23;813;483;0,0324074074074074;0,028290282902829
"2019";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";6;3;148;109;0,0233463035019455;0,0202702702702703
"2019";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";13;1;262;130;0,0331632653061225;0,00381679389312977
"2019";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";44;18;1185;547;0,0254041570438799;0,0151898734177215
"2019";"6";"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";77;35;1627;484;0,0364756039791568;0,0215119852489244
"2019";"7";"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";15;18;531;240;0,0194552529182879;0,0338983050847458
"2019";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";7;3;189;102;0,0240549828178694;0,0158730158730159
"2019";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";21;25;603;320;0,0227518959913326;0,0414593698175788
"2019";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";2;4;123;85;0,00961538461538462;0,032520325203252
"2019";"11";"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";51;22;1293;388;0,0303390838786437;0,017014694508894
"2019";"12";"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";4;0;294;93;0,0103359173126615;0
"2019";"13";"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";2;0;91;34;0,016;0
"2019";"14";"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";20;16;728;238;0,020703933747412;0,021978021978022
"2019";"15";"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";17;7;281;108;0,0437017994858612;0,0249110320284698
"2019";"16";"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";53;14;963;397;0,0389705882352941;0,0145379023883697
"2019";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";10;9;224;160;0,0260416666666667;0,0401785714285714
"2019";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";20;19;514;204;0,0278551532033426;0,0369649805447471
"2019";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";30;13;627;246;0,0343642611683849;0,0207336523125997
"2019";"20";"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";3;4;133;71;0,0147058823529412;0,0300751879699248
"2019";"21";"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";17;9;489;256;0,0228187919463087;0,0184049079754601
"2019";"22";"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";20;19;663;392;0,018957345971564;0,028657616892911
"2019";"23";"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";13;8;587;265;0,0152582159624413;0,0136286201022147
"2019";"24";"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";6;3;164;99;0,0228136882129278;0,0182926829268293
"2019";"25";"25-Mathématiques";"Mathématiques et informatique";"Sciences";22;15;823;498;0,0166540499621499;0,0182260024301337
"2019";"26";"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";40;18;1147;629;0,0225225225225225;0,015693112467306
"2019";"27";"27-Informatique";"Mathématiques et informatique";"Sciences";65;39;2403;968;0,0192821121328982;0,0162297128589263
"2019";"28";"28-Milieux denses et matériaux";"Physique";"Sciences";8;22;858;490;0,00593471810089021;0,0256410256410256
"2019";"29";"29-Constituants élémentaires";"Physique";"Sciences";4;2;221;175;0,0101010101010101;0,00904977375565611
