"UAI","Etablissement","Référence GALAXIE","N° dans le SI local","Article","Corps","Chaire","Section","Section2","Section3","Date de prise de fonction","Date ouverture cand","Date clôture cand","Profil","Localisation","Etat de vacance"
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","44","","26-I-1","MCF","Non","22","","","01/09/2018","25/01/2018","26/02/2018","Histoire politique de la fin du XIXe siècle au temps présent : nations, empires et mondialisations.","UFR d'Histoire, 1, rue V. Cousin, PARIS",""
"0772502B","UNIVERSITE PARIS EST MARNE LA VALLEE","4178 * ","","26-I-2","MCF","Non","22","","","01/09/2018","22/02/2018","29/03/2018","Histoire urbaine de l'Allemagne à l'époque contemporaine","CHAMPS SUR MARNE",""
"0860856N","UNIVERSITE DE POITIERS","4536 * ","","26-I-1","MCF","Non","22","","","01/09/2018","22/02/2018","29/03/2018","Histoire du temps present, des annees 1950 a nos jours (de preference sociale et culturelle)","Poitiers",""
"0911975C","UNIVERSITE D'EVRY VAL D'ESSONNE","4146 * ","","26-I-1","MCF","Non","22","","","01/09/2018","22/02/2018","29/03/2018","Histoire moderne","EVRY",""
"0931827F","UNIVERSITE PARIS 8","4427 * ","","26-I-1","MCF","Non","22","","","01/09/2018","22/02/2018","29/03/2018","Etudes sur la guerre et sur la stratégie","2 RUE DE LA LIBERTE-SAINT DENIS",""
"0941111X","UNIVERSITE PARIS EST CRETEIL (PARIS 12","4561 * ","0417","26-I-1","MCF","Non","22","","","01/09/2018","22/02/2018","29/03/2018","Histoire de l Europe moderne, économies et sociétés, XVIe-XVIIIe siècles","Creteil, Campus centre",""
"9840349G","UNIVERSITE DE POLYNESIE FRANCAISE","4154 * ","","26-I-1","MCF","Non","22","","","27/08/2018","22/02/2018","29/03/2018","Maître de conférences en Histoire contemporaine.","Punaauia - Tahiti",""
"0141408E","UNIVERSITE DE CAEN","4378 * ","","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géographie physique et hydrologie continentale","CAEN",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4348 * ","2300MCF1218","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géomatique, SIG, Géographie de l environnement, analyse spatiale, littoral","Brest - IUEM (Plouzane)",""
"0341089Z","UNIVERSITE MONTPELLIER 3 (PAUL VALERY)","4219 * ","512","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Tourisme et developpement durable / Preparation aux concours de l enseignement","Montpellier",""
"0350937D","UNIVERSITE RENNES 2","4296 * ","0078","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géographie sociale","Rennes",""
"0370800U","UNIVERSITE DE TOURS","4373","0055","26-I-1","MCF","Non","23","","","01/09/2018","09/02/2018","12/03/2018","Géographie de l'environnement","UFR Droit, Economie et Sciences sociales",""
"0383493R","UNIVERSITE GRENOBLE ALPES","280 * ","","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Biodiversité, télédétection, image très haute résolution, politiques de gestion environnementale","Grenoble","S"
"0421095M","UNIVERSITE DE SAINT-ETIENNE","4248 * ","0010","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","GEOGRAPHE DE L'ENVIRONNEMENT","ST ETIENNE",""
"0440984F","UNIVERSITE DE NANTES","4448 * ","1450","26-I-1","MCF","Non","23","24","","01/09/2018","22/02/2018","29/03/2018","Géographie urbaine et projet urbain","Nantes",""
"0450855K","UNIVERSITE D'ORLEANS","4319 * ","MCF0236","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Territoires de l'eau, développement local, ruralités","UFR Collegium LLSH - ORLEANS",""
"0623957P","UNIVERSITE D'ARTOIS","4273 * ","23 MCF 1417","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","The Department of Geography and EA2468 are recruiting an associate professor in Geography with training and expertise in environmental geography. Political and/or cultural perspectives are expected»","Arras",""
"0673021V","UNIVERSITE DE STRASBOURG","4491 * ","","26-I-1","MCF","Non","23","24","","01/09/2018","22/02/2018","29/03/2018","Géographie des risques et aménagement ","Strasbourg",""
"0720916E","UNIVERSITE DU MANS","4240 * ","LET2324MCF0093","26-I-1","MCF","Non","23","24","","01/09/2018","22/02/2018","29/03/2018","Écologie territoriale","LE MANS",""
"0730858L","UNIVERSITE DE SAVOIE MONT-BLANC","4224 * ","489","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","E:Géographie humaine : géographie générale et aménagement des territoires de montagne.R:Géographie humaine : environnement, pratiques des espaces de montagne, politiques et espaces publics.","CHAMBERY","S"
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4450 * ","1824","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Vivant et territoires : modélisation des processus socio-environnementaux","UFR Geographie",""
"0753488J","INALCO PARIS","4109","005","26-I-1","MCF","Non","23","","","01/09/2018","20/02/2018","22/03/2018","Géographie et économie de l'Asie du Sud et de l'Himalaya","65 rue des Grands Moulins",""
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","22","","26-I-1","MCF","Non","23","","","01/09/2018","25/01/2018","26/02/2018","Concours de l'enseignement (CAPES, Agrégations) et géographie urbaine","UFR de Geographie 191, rue St-Jacques",""
"0761904G","UNIVERSITE DE ROUEN","4404 * ","","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géographie, modélisation, simulation","Mont-Saint-Aignan",""
"0840685N","UNIVERSITE D'AVIGNON","4106 * ","","26-I-1","MCF","Non","23","24","","01/09/2018","22/02/2018","29/03/2018","Tourisme et Gestion des projets touristiques","Campus Hannah Arendt - Centre-ville",""
