"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0352440M";"École normale supérieure";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";1
"0352440M";"École normale supérieure";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0352440M";"École normale supérieure";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0352440M";"École normale supérieure";"PR";74;"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0370800U";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";14
"0370800U";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";17
"0370800U";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";1
"0370800U";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";4
"0370800U";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";8
"0370800U";"Université";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";17
"0370800U";"Université";"MCF";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";11
"0370800U";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";4
"0370800U";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";9
"0370800U";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";1
"0370800U";"Université";"MCF";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";31
"0370800U";"Université";"MCF";12;"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";5
"0370800U";"Université";"MCF";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";16
"0370800U";"Université";"MCF";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";25
"0370800U";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";4
"0370800U";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";5
"0370800U";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";17
"0370800U";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";5
"0370800U";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";14
"0370800U";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";18
"0370800U";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";14
"0370800U";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";9
"0370800U";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";7
"0370800U";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";10
"0370800U";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";27
"0370800U";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";9
"0370800U";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";8
"0370800U";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";12
"0370800U";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";6
"0370800U";"Université";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";4
"0370800U";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";7
"0370800U";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";5
"0370800U";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";3
"0370800U";"Université";"MCF";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0370800U";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";3
"0370800U";"Université";"MCF";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";1
"0370800U";"Université";"MCF";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";1
"0370800U";"Université";"MCF";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";2
"0370800U";"Université";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";7
"0370800U";"Université";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";7
"0370800U";"Université";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0370800U";"Université";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";19
"0370800U";"Université";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";9
"0370800U";"Université";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";14
"0370800U";"Université";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";18
"0370800U";"Université";"MCF";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";10
"0370800U";"Université";"MCF";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";5
"0370800U";"Université";"MCF";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";10
"0370800U";"Université";"MCF";70;"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";5
"0370800U";"Université";"MCF";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";6
"0370800U";"Université";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";2
"0370800U";"Université";"MCF";80;"80-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0370800U";"Université";"MCF";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";12
"0370800U";"Université";"MCF";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";10
"0370800U";"Université";"MCF";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";14
"0370800U";"Université";"PR";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";10
"0370800U";"Université";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";8
"0370800U";"Université";"PR";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";1
"0370800U";"Université";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";1
"0370800U";"Université";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";5
"0370800U";"Université";"PR";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";6
"0370800U";"Université";"PR";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";6
"0370800U";"Université";"PR";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";2
"0370800U";"Université";"PR";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";6
"0370800U";"Université";"PR";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";6
"0370800U";"Université";"PR";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";5
"0370800U";"Université";"PR";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";8
"0370800U";"Université";"PR";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";3
"0370800U";"Université";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";4
"0370800U";"Université";"PR";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";1
"0370800U";"Université";"PR";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";10
"0370800U";"Université";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";12
"0370800U";"Université";"PR";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";3
"0370800U";"Université";"PR";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";6
"0370800U";"Université";"PR";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";4
"0370800U";"Université";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";6
"0370800U";"Université";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";13
"0370800U";"Université";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";3
"0370800U";"Université";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";5
"0370800U";"Université";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";2
"0370800U";"Université";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";2
"0370800U";"Université";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";2
"0370800U";"Université";"PR";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";3
"0370800U";"Université";"PR";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";5
"0370800U";"Université";"PR";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";6
"0370800U";"Université";"PR";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";8
"0370800U";"Université";"PR";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";5
"0370800U";"Université";"PR";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";2
"0370800U";"Université";"PR";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";10
"0370800U";"Université";"PR";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";9
"0370800U";"Université";"PR";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";7
"0370800U";"Université";"PR";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";9
"0370800U";"Université";"PR";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";8
"0370800U";"Université";"PR";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";7
"0370800U";"Université";"PR";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";3
"0370800U";"Université";"PR";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";12
"0370800U";"Université";"PR";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";5
"0370800U";"Université";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0370800U";"Université";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0370800U";"Université";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0370800U";"Université";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";6
"0370800U";"Université";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0370800U";"Université";"PR";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";5
"0370800U";"Université";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";5
"0370800U";"Université";"PR";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";7
"0370800U";"Université";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";3
"0370800U";"Université";"PR";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";2
"0370800U";"Université";"PR";70;"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0370800U";"Université";"PR";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0370800U";"Université";"PR";80;"80-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0370800U";"Université";"PR";81;"81-Sciences du médicament et des autres produits de santé";"Pharmacie(bi-appartenants)";"Pharmacie";1
"0370800U";"Université";"PR";82;"82-Sciences biologiques, fondamentales et cliniques";"Pharmacie(bi-appartenants)";"Pharmacie";5
"0370800U";"Université";"PR";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";3
"0370800U";"Université";"PR";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";5
"0370800U";"Université";"PR";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";4
"0380134P";"Institut d'étude politique";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";5
"0380134P";"Institut d'étude politique";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";9
"0380134P";"Institut d'étude politique";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";5
"0380134P";"Institut d'étude politique";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";2
"0380134P";"Institut d'étude politique";"MCF";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";1
"0380134P";"Institut d'étude politique";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";2
"0380134P";"Institut d'étude politique";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";4
"0380134P";"Institut d'étude politique";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";3
"0380134P";"Institut d'étude politique";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";8
"0380134P";"Institut d'étude politique";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";2
"0380134P";"Institut d'étude politique";"PR";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0380134P";"Institut d'étude politique";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";1
"0381912X";"Grand établissement";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";4
"0381912X";"Grand établissement";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0381912X";"Grand établissement";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";3
"0381912X";"Grand établissement";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";8
"0381912X";"Grand établissement";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";36
"0381912X";"Grand établissement";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";10
"0381912X";"Grand établissement";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";7
"0381912X";"Grand établissement";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";3
"0381912X";"Grand établissement";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";5
"0381912X";"Grand établissement";"MCF";37;"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";1
"0381912X";"Grand établissement";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";21
"0381912X";"Grand établissement";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";30
"0381912X";"Grand établissement";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";15
"0381912X";"Grand établissement";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";28
"0381912X";"Grand établissement";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";1
"0381912X";"Grand établissement";"MCF";70;"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0381912X";"Grand établissement";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";1
"0381912X";"Grand établissement";"PR";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";3
"0381912X";"Grand établissement";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";6
"0381912X";"Grand établissement";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";23
"0381912X";"Grand établissement";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";7
"0381912X";"Grand établissement";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";2
"0381912X";"Grand établissement";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";2
"0381912X";"Grand établissement";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";9
"0381912X";"Grand établissement";"PR";37;"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";1
"0381912X";"Grand établissement";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";18
"0381912X";"Grand établissement";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";22
"0381912X";"Grand établissement";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0381912X";"Grand établissement";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";20
"0381912X";"Grand établissement";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";1
"0383493R";"Université";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";19
"0383493R";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";31
"0383493R";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";18
"0383493R";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";6
"0383493R";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";3
"0383493R";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";41
"0383493R";"Université";"MCF";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";58
"0383493R";"Université";"MCF";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";26
"0383493R";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";6
"0383493R";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";19
"0383493R";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";3
"0383493R";"Université";"MCF";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";36
"0383493R";"Université";"MCF";12;"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";8
"0383493R";"Université";"MCF";13;"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";4
"0383493R";"Université";"MCF";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";32
"0383493R";"Université";"MCF";15;"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";7
"0383493R";"Université";"MCF";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";30
"0383493R";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";6
"0383493R";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";9
"0383493R";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";9
"0383493R";"Université";"MCF";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";2
"0383493R";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";10
"0383493R";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";19
"0383493R";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";21
"0383493R";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";15
"0383493R";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";30
"0383493R";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";36
"0383493R";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";102
"0383493R";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";47
"0383493R";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";9
"0383493R";"Université";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";6
"0383493R";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";22
"0383493R";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";26
"0383493R";"Université";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";13
"0383493R";"Université";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";7
"0383493R";"Université";"MCF";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";13
"0383493R";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";7
"0383493R";"Université";"MCF";37;"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";10
"0383493R";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";1
"0383493R";"Université";"MCF";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";2
"0383493R";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";13
"0383493R";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";6
"0383493R";"Université";"MCF";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0383493R";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";5
"0383493R";"Université";"MCF";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";3
"0383493R";"Université";"MCF";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";1
"0383493R";"Université";"MCF";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";1
"0383493R";"Université";"MCF";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";1
"0383493R";"Université";"MCF";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";3
"0383493R";"Université";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";44
"0383493R";"Université";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";26
"0383493R";"Université";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";15
"0383493R";"Université";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";30
"0383493R";"Université";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";24
"0383493R";"Université";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";19
"0383493R";"Université";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";11
"0383493R";"Université";"MCF";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";2
"0383493R";"Université";"MCF";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";11
"0383493R";"Université";"MCF";70;"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";21
"0383493R";"Université";"MCF";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";24
"0383493R";"Université";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0383493R";"Université";"MCF";74;"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";22
"0383493R";"Université";"MCF";82;"82-Sciences biologiques, fondamentales et cliniques";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0383493R";"Université";"MCF";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";12
"0383493R";"Université";"MCF";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";8
"0383493R";"Université";"MCF";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";10
"0383493R";"Université";"PR";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";18
