"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0060931E";"Université";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";15
"0060931E";"Université";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";17
"0060931E";"Université";"MCF";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";6
"0060931E";"Université";"MCF";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"MCF";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";6
"0060931E";"Université";"MCF";70;"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";7
"0060931E";"Université";"MCF";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";16
"0060931E";"Université";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";3
"0060931E";"Université";"MCF";73;"73-Cultures et langues régionales";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0060931E";"Université";"MCF";74;"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";18
"0060931E";"Université";"PR";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";12
"0060931E";"Université";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";10
"0060931E";"Université";"PR";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";3
"0060931E";"Université";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";1
"0060931E";"Université";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";18
"0060931E";"Université";"PR";6;"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";12
"0060931E";"Université";"PR";7;"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";3
"0060931E";"Université";"PR";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";4
"0060931E";"Université";"PR";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";9
"0060931E";"Université";"PR";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";3
"0060931E";"Université";"PR";11;"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";6
"0060931E";"Université";"PR";13;"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";1
"0060931E";"Université";"PR";14;"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";6
"0060931E";"Université";"PR";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";14
"0060931E";"Université";"PR";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";3
