UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0311382J,UNIVERSITE TOULOUSE 1,4201,,26-I-1,MCF,Non,2,,,01/09/2019,22/02/2019,25/03/2019,Droit public interne - Droit administratif des biens (voir profil détaillé joint).,50 AVENUE DE BORDEAUX,
0383493R,UNIVERSITE GRENOBLE ALPES,388 *,27MCF0366,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Droit public interne : institutions, environnement",Grenoble ou Valence,S
0383493R,UNIVERSITE GRENOBLE ALPES,430 *,02MCF0690,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Droit public interne, droit administratif, droit européen et libertés publiques",Grenoble,S
0421095M,UNIVERSITE DE SAINT-ETIENNE,4272 *,0078,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,DROIT PUBLIC,UFR DROIT,S
0421095M,UNIVERSITE DE SAINT-ETIENNE,4273 *,0079,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,DROIT PUBLIC,UFR DROIT,S
0421095M,UNIVERSITE DE SAINT-ETIENNE,4274 *,0460,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,DROIT PUBLIC,UFR DROIT,
0511296G,UNIVERSITE DE REIMS,4356 *,02 MCF 0694,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Finances de l'Etat, aux finances locales et fiscalité nationale et locale. Maîtrise du droit administratif général sera appréciée.",REIMS,
0511296G,UNIVERSITE DE REIMS,4375 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public,TROYES,
0542493S,UNIVERSITE DE LORRAINE,1156 *,02MCF0531,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public,NANCY,
0561718N,UNIVERSITE DE BRETAGNE SUD (LORIENT),4122 *,0008,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,droit public,VANNES,
0595876S,I.E.P DE LILLE,4043 *,MCF0005,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,MCF Droit public : droit constitutionnel,Sciences Po Lille,
0597065J,UNIVERSITE DE LILLE,99 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public interne,LILLE,
0623957P,UNIVERSITE D'ARTOIS,4313 *,02  MCF 0341,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Le maître de conférences recruté assurera les enseignements en droit communautaire et en droit européen en L et M et contribuera aux différentes actions destinées à favoriser la réussite des étudiants,DOUAI,
0640251A,UNIVERSITE DE PAU,4208 *,MC0738,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Enseignements droit administratif (droit collectivités territoriales, institutions administratives, finances publiques...) et du droit de l'Union Européenne spécialement les droits fondamentaux",Bayonne,
0673021V,UNIVERSITE DE STRASBOURG,4557 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit économique européen,Strasbourg,
0681166Y,UNIVERSITE DE MULHOUSE,4204 *,02 MCF 0433,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public interne,"Fac des Sc. Eco, Sociales et juridiques",
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4286 *,0700,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Contentieux administratif / Finances publiques / Laïcité / Collectivités territoriales,LYON / BOURG EN BRESSE,S
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4288 *,0130,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit européen et droit international,LYON/BOURG EN BRESSE,S
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4486 *,14223,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,DROIT EUROPEEN / DROIT ADMINISTRATIF,Centre Pantheon,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4487 *,14120,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,FINANCES PUBLIQUES / DROIT CONSTITUTIONNEL,Centre Pantheon,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4500 *,2086,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public (droit international et droit européen),CAVEJ - Centre Rene Cassin,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4235 *,0200MCF0184,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Toutes les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4236 *,0200MCF0171,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Toutes les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4237 *,0200MCF0080,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Toutes les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751721N,UNIVERSITE PARIS 5 (RENE DESCARTES),4391,02MCF2050,26-I-1,MCF,Non,2,,,01/09/2019,23/01/2019,27/02/2019,"Droit administratif, droit de l¿Union européenne","Faculte de droit, deconomie, gestion",
0761904G,UNIVERSITE DE ROUEN,4443 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public interne,ROUEN,
0761904G,UNIVERSITE DE ROUEN,4444 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit européen et international public,ROUEN,
0801344B,UNIVERSITE D'AMIENS,4436 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"DROIT ADMINISTRATIF, FINANCES PUBLIQUES",POLE UNIVERSITAIRE CATHEDRALE,
0811293R,INSTITUT NATIONAL UNIV. D'ALBI,4136 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit Public / Droit de l'environnement / Droit de l'urbanisme,ALBI et RODEZ,
0830766G,UNIVERSITE DE TOULON (VAR),4193 *,,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Maître de conférences « Droit international public - Droit de la mer »,TOULON et DRAGUIGNAN,
0911101C,UNIVERSITE PARIS 11,4558 *,02MCF1919,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public interne,ORSAY,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4495 *,0163,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Profil généraliste : droit administratif, droit public financier, droit économique, droit constitutionnel, droit des libertés, théorie du droit, droit de l¿environnement.",NANTERRE,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4604 *,0021,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public,Faculte de droit  Creteil,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4605 *,0589,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit publicDroit européen,Faculte de droit  Creteil,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4606 *,1011,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit publicDroit du numérique,Faculte de droit  Creteil,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4607 *,1134,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public Droit fiscal,Faculte de droit  Creteil,
9760358K,CUFR  DE MAYOTTE,47 *,065,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Généraliste en droit public,DEMBENI,
0342321N,UNIVERSITE DE MONTPELLIER,306 *,03MCF0382,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Histoire du droit,Montpellier,
0720916E,UNIVERSITE DU MANS,4261 *,03MCF0383,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Histoire du droit et des institutions,LE MANS,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4485 *,14224,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Histoire du droit,Ecole de Droit de la Sorbonne,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4498 *,0880,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Histoire du droit et des institutions,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4500 *,1362,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Histoire du droit et des institutions,NANTERRE,
0931827F,UNIVERSITE PARIS 8,4454 *,,26-I-1,MCF,Non,3,,,01/09/2019,21/02/2019,26/03/2019,Le ou la candidat(e) devra avoir le profil d'un historien du droit public.,2 RUE DE LA LIBERTE - SAINT DENIS,
0251215K,UNIVERSITE DE BESANCON,4494 *,0056,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Sciences politiques,BESANCON,
0330192E,I.E.P DE BORDEAUX,4044 *,MCF062,26-I-1,MCF,Non,4,5,19,01/09/2019,21/02/2019,26/03/2019,"Politiste, sociologue, économiste pouvant enseigner les cours classiques dans un IEP. Spécialiste des sociétés du sud. Capacité à enseigner en anglais.Recherche:Sociétés africaines, Maghreb,MO",PESSAC,
0380134P,IEP DE GRENOBLE,4057 *,0009,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Politiques publiques,Saint Martin d'Heres,
0460697H,UNIV. TOULOUSE 2 (IUT FIGEAC),4440,,26-I-1,MCF,Non,4,,,01/09/2019,14/02/2019,18/03/2019,"Science politique : Politique Publique, Acteurs et territoires",FIGEAC,
0490970N,UNIVERSITE D'ANGERS,4319 *,04MCF0541,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,"Théorie politique, histoire des idées et des représentations politiques",ANGERS,
0593279U,UNIVERSITE DE VALENCIENNES (UPHF),4231 *,,26-I-1,MCF,Non,4,19,,01/09/2019,21/02/2019,26/03/2019,"Sociologie, science politique",LES TERTIALES VALENCIENNES,
0597065J,UNIVERSITE DE LILLE,100 *,,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Histoire sociale des idées,LILLE,
0673021V,UNIVERSITE DE STRASBOURG,4558 *,,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Sociologie politique ; sociologie de l'action publique,Strasbourg,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4386 *,,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,sociologie de l¿action publique,BRON,
0751719L,UNIVERSITE PARIS 3 (SORBONNE NOUVELLE),4287 *,,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Études européennes et relations  internationales,Centre Censier,S
0840685N,UNIVERSITE D'AVIGNON,4130 *,,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,Science politique : action publique dans les sociétés numériques,Campus Hannah Arendt  Centre-ville,
0931238R,UNIVERSITE PARIS 13,4331 *,1200,26-I-1,MCF,Non,4,,,01/09/2019,21/02/2019,26/03/2019,"Politiques sociales, territoriales, participation démocratique, sociologie du monde associatif",Bobigny,
0951793H,UNIVERSITE DE CERGY-PONTOISE,4412 *,,26-I-1,MCF,Non,4,2,,01/09/2019,21/02/2019,26/03/2019,IEP recherche un collègue juriste ou politiste disposant d¿une formation juridique pour accompagner le dév. de sa spécialité affaires pub. et de son pôle concours admin. et judic.(cf.fiche jointe),SAINT GERMAIN EN LAYE,
0060931E,UNIVERSITE DE NICE (SOPHIA ANTIPOLIS),4568,05MCF561,26-I-1,MCF,Non,5,,,01/09/2019,29/01/2019,05/03/2019,"Economie de l4innovation : concurrence, économie numérique, finance, environnement",ISEM,
0060931E,UNIVERSITE DE NICE (SOPHIA ANTIPOLIS),4569,05 MCF 562,26-I-1,MCF,Non,5,,,01/09/2019,29/01/2019,05/03/2019,Analyse économique,ISEM,
0311383K,UNIVERSITE TOULOUSE 2,4441,,26-I-1,MCF,Non,5,24,,01/09/2019,14/02/2019,18/03/2019,"Economie sociale et solidaire, Economie territoriale",TOULOUSE,
0333298F,UNIVERSITE DE BORDEAUX,400 *,1116,26-I-1,MCF,Non,5,6,,01/09/2019,21/02/2019,26/03/2019,Histoire économique et business history - Développement formation continue et/ou pédagogie pour les grands effectifs,Pessac,S
0342321N,UNIVERSITE DE MONTPELLIER,309 *,05MCF0116,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,Economie publique,Montpellier,
0342321N,UNIVERSITE DE MONTPELLIER,310 *,05MCF0111,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,"Economie de l'énergie, transition énergétique",Montpellier,
0350937D,UNIVERSITE RENNES 2,4341 *,0517,33,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,Économie de l'environnement et du développement. Philosophie économique. Économie de la soutenabilité. Énergies - Territoires - Institutions.,Rennes,S
0380134P,IEP DE GRENOBLE,4058 *,0012,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,Economie internationale,Saint Martin d'Heres,
0383493R,UNIVERSITE GRENOBLE ALPES,409 *,05MCF0957,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,Economie industrielle,Grenoble,S
0420957M,UNIV. SAINT-ETIENNE (IUT ST ETIENNE),4279 *,,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,ECONOMIE,IUT ST ETIENNE,S
0421095M,UNIVERSITE DE SAINT-ETIENNE,4262 *,0490,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,THEORIE DES JEUX / THEORIE DU CHOIX SOCIAL,IAE ST ETIENNE,
0421095M,UNIVERSITE DE SAINT-ETIENNE,4263 *,0618,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,POLITIQUES PUBLIQUES ET ESPACE,IAE ST ETIENNE,
0450855K,UNIVERSITE D'ORLEANS,4355 *,MCF0592,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,Econométrie théorique et/ou appliquée,UFR DEG - Orleans,
0511296G,UNIVERSITE DE REIMS,4357 *,05,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,"Enseignant susceptible d'intervenir prioritairement sur les enseignements d'économie générale de licence économie et gestion, licence A.E.S. et licence sciences sanitaires et sociales.",TROYES,
0511296G,UNIVERSITE DE REIMS,4358 *,05 MCF 0447,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,"Enseignant susceptible d¿intervenir prioritairement sur les enseignements d¿économie générale de licence économie et gestion, licence A.E.S. et licence sciences sanitaires et sociales.",TROYES,
0542493S,UNIVERSITE DE LORRAINE,1157 *,05MCF0609,26-I-1,MCF,Non,5,,,01/09/2019,21/02/2019,26/03/2019,"macro-économie financière, finances publiques et durables",NANCY,S
