UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0060931E,UNIVERSITE DE NICE (SOPHIA ANTIPOLIS),4565,01 MCF 550,26-I-1,MCF,Non,1,,,01/09/2019,29/01/2019,05/03/2019,DROIT ECONOMIQUE,UFR DROIT,
0134009M,UNIVERSITE AIX-MARSEILLE,752 *,52016,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit pénal international ou Droit pénal européen ; procédure pénale ; sanction pénale,AIX EN PROVENCE,
0134009M,UNIVERSITE AIX-MARSEILLE,755 *,77067,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit des affaires-Concurrence et contrats d'affaires,AIX EN PROVENCE,
0134009M,UNIVERSITE AIX-MARSEILLE,756 *,69646,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit des affaires-Droit des sociétés,AIX EN PROVENCE,
0251215K,UNIVERSITE DE BESANCON,4493 *,0421,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé (droit civil et des affaires),Belfort (90) - Montbeliard (25),
0342321N,UNIVERSITE DE MONTPELLIER,304 *,01MCF0418,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Droit des contrats, Droit des entreprises",Montpellier,
0342321N,UNIVERSITE DE MONTPELLIER,347 *,01MCF0849,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé,Nimes,
0350936C,UNIVERSITE RENNES 1,4474 *,0574,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Ens: droit du numérique, de la propriété intellectuelle, droit civil.Rech ayant importants points de rencontre avec problématiques juridiques soulevées par le déploiement des technologies numériques",RENNES,
0370800U,UNIVERSITE DE TOURS,4410,0829,26-I-1,MCF,Non,1,,,01/09/2019,08/02/2019,11/03/2019,Droit social,TOURS,
0383493R,UNIVERSITE GRENOBLE ALPES,387 *,01MCF1283,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Droit processuel, Procédure pénale, Procédure civile, Droit privé et sciences criminelles",Grenoble ou Valence,S
0490970N,UNIVERSITE D'ANGERS,4318 *,01MCF0442,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Besoin en Licence(Intro.au droit,droit civil,droit des affaires,droit international,plus matières très techniques),en Master droit privé,droit des affaires et,dans 1 moindre mesure,spécialités de M2.",ANGERS,
0542493S,UNIVERSITE DE LORRAINE,1154 *,01MCF0433,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit du travail,NANCY,S
0542493S,UNIVERSITE DE LORRAINE,1155 *,01MCF0049,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit des affaires-Droit fiscal,METZ,
0597065J,UNIVERSITE DE LILLE,98 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit extra patrimonial de la famille.,LILLE,
0623957P,UNIVERSITE D'ARTOIS,4314 *,01 MCF 0375,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Le maître de conférence assurera les enseignements principalement en droit du travail en Licence et Master et contribuera aux différentes actions destinées à favoriser la réussite des étudiants.,DOUAI,
0632035V,UNIVERSITE CLERMONT AUVERGNE,149 *,0018,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit du travail - Droit de la protection sociale,Clermont-Ferrand,
0640251A,UNIVERSITE DE PAU,4206 *,MC0234,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Généraliste en droit privé spécialisation possible autour de l'un des axes suivants : droit de l¿environnement/droit de l¿énergie/droit civil/droit commercial et des affaires/droit pénal/droit social,Pau,S
0673021V,UNIVERSITE DE STRASBOURG,4554 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit social,Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4555 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit social - Santé au travail,Strasbourg,
0673021V,UNIVERSITE DE STRASBOURG,4556 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Procédure civile, procédures civiles d'exécution, droit civil : droit des biens ou droit de la consommation",Strasbourg,
0681166Y,UNIVERSITE DE MULHOUSE,4203 *,01-02 MCF 370,26-I-1,MCF,Non,1,2,,01/09/2019,21/02/2019,26/03/2019,Droit fiscal,"Fac des Sc. Eco, Sociales et juridiques",
0691775E,UNIVERSITE LYON 2 (LUMIERE),4374 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit social,LYON,
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4289 *,0323,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé et sciences criminelles,LYON/BOURG EN BRESSE,S
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4294 *,0412,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé et sciences criminelles,LYON/BOURG EN BRESSE,S
0692437Z,UNIVERSITE LYON 3 (JEAN MOULIN),4303 *,0276,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Droit des affaires, droit des sociétés, droit des contrats et droit de la concurrence",LYON/BOURG EN BRESSE,S
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4483 *,14178,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé - Droit de l'entreprise,Centre Pantheon,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4484 *,14173,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé-Théorie du droit,Centre Pantheon,
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4521 *,4178,26-I-1,MCF,Non,1,6,,01/09/2019,21/02/2019,26/03/2019,Droit privé et droit du numérique,12 place du Pantheon,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4230 *,0100MCF0206,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4231 *,0100MCF0513,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4232 *,0100MCF0116,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4233 *,0100MCF0107,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0751718K,UNIVERSITE PARIS 2 (PANTHEON-ASSAS),4234 *,0100MCF0109,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Les informations utiles au recrutement sont disponibles au lien ci-après :https://www.u-paris2.fr/fr/universite/recrutements/enseignement/campagne-synchronisee-de-recrutement-des-enseignants,paris,
0753471R,CONSERVATOIRE NAT. DES ARTS ET METIERS,4209 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,DROIT IMMOBILIER,PARIS,
0781944P,UNIVERSITE VERSAILLES/SAINT-QUENTIN,4187 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Contrats civils et commerciaux,GUYANCOURT,
0801344B,UNIVERSITE D'AMIENS,4434 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"DROIT CIVIL, DROIT SOCIAL, DROIT PENAL",POLE UNIVERSITAIRE CATHEDRALE,
0801344B,UNIVERSITE D'AMIENS,4435 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"DROIT CIVIL, DROIT SOCIAL, DROIT PENAL",POLE UNIVERSITAIRE CATHEDRALE,
0830766G,UNIVERSITE DE TOULON (VAR),4192 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Maître de conférences « Droit pénal ¿ Droit pénal comparé »,TOULON et DRAGUIGNAN,
0830766G,UNIVERSITE DE TOULON (VAR),4194 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Maître de conférences « Droit du travail,, droit social - Contentieux »",TOULON et DRAGUIGNAN,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4494 *,0160,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit du travail,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4496 *,0345,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit des affaires,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4499 *,CREATION,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé général,NANTERRE,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4523 *,1111,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit privé général,NANTERRE,
0931238R,UNIVERSITE PARIS 13,4312 *,0238,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit commercial,Villetaneuse,
0931827F,UNIVERSITE PARIS 8,4455 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Maître de conférences en droit privé (section droit privé),2 RUE DE LA LIBERTE - SAINT DENIS,
0941111X,UNIVERSITE PARIS EST CRETEIL (PARIS 12,4642 *,0829,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,"Droit social, Business law",Campus centre,S
0951793H,UNIVERSITE DE CERGY-PONTOISE,4407 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit pénal,CERGY,
0951793H,UNIVERSITE DE CERGY-PONTOISE,4408 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit civil / droit des affaires / droit économique,CERGY,
7200664J,UNIVERSITE DE CORTE,4089 *,0050,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit civil et/ou droit des affaires,CORTE,
9730429D,UNIVERSITE DE LA GUYANE,115 *,,26-I-1,MCF,Non,1,,,01/09/2019,21/02/2019,26/03/2019,Droit de la famille ¿ Droit patrimonial de la famille ¿ Contentieux,CAYENNE,
0060931E,UNIVERSITE DE NICE (SOPHIA ANTIPOLIS),4566,02 MCF 545,26-I-1,MCF,Non,2,,,01/09/2019,29/01/2019,05/03/2019,"Droit public, droit interne et Européen des droits fondamentaux",UFR DROIT,
0060931E,UNIVERSITE DE NICE (SOPHIA ANTIPOLIS),4567,02MCF546,26-I-1,MCF,Non,2,,,01/09/2019,29/01/2019,05/03/2019,"Droit de l¿Union européenne, Droit européen",IDPD,
0134009M,UNIVERSITE AIX-MARSEILLE,753 *,54737,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,"Droit de l'Union européenne, Droit international public, Droit de la Convention Européenne des Droits de l'Homme (CEDH)",AIX EN PROVENCE,
0301687W,UNIVERSITE DE NIMES,4168 *,0004,26-I-1,MCF,Non,2,,,01/09/2019,21/02/2019,26/03/2019,Droit public,NIMES,
0311382J,UNIVERSITE TOULOUSE 1,4200,,26-I-1,MCF,Non,2,,,01/09/2019,22/02/2019,25/03/2019,,2 RUE DU DOYEN GABRIEL MARTY,
